id_transfermarkt,canonical_name,nationality,birth_date,position,competition,team_name,team_slug,team_id_tm,season,source
311044,Alfonso Espino,Uruguay,1992-01-05,Lateral izquierdo,La Liga,Rayo Vallecano,rayo-vallecano,367,2025,transfermarkt
314353,Trent Alexander-Arnold,Inglaterra,1998-10-07,Lateral derecho,La Liga,Real Madrid CF,real-madrid,418,2025,transfermarkt
314678,Brahim Díaz,Marruecos,1999-08-03,Extremo derecho,La Liga,Real Madrid CF,real-madrid,418,2025,transfermarkt
319745,Dani Ceballos,España,1996-08-07,Mediocentro,La Liga,Real Madrid CF,real-madrid,418,2025,transfermarkt
320271,Toni Lato,España,1997-11-21,Lateral izquierdo,La Liga,RCD Mallorca,rcd-mallorca,237,2025,transfermarkt
326330,Frenkie de Jong,Países Bajos,1997-05-12,Mediocentro,La Liga,FC Barcelona,fc-barcelona,131,2025,transfermarkt
326416,Dani Calvo,España,1994-04-01,Defensa central,La Liga,Real Oviedo,real-oviedo,2497,2025,transfermarkt
328480,Pepelu,España,1998-08-11,Pivote,La Liga,Valencia CF,fc-valencia,1049,2025,transfermarkt
331505,Óscar Mingueza,España,1999-05-13,Lateral derecho,La Liga,RC Celta de Vigo,celta-vigo,940,2025,transfermarkt
334222,Lucas Boyé,Argentina,1996-02-28,Delantero centro,La Liga,Deportivo Alavés,deportivo-alaves,1108,2025,transfermarkt
335225,Manu Morlanes,España,1999-01-12,Mediocentro,La Liga,RCD Mallorca,rcd-mallorca,237,2025,transfermarkt
336869,Marc Roca,España,1996-11-26,Pivote,La Liga,Real Betis Balompié,real-betis-sevilla,150,2025,transfermarkt
337284,Ovie Ejaria,Inglaterra,1997-11-18,Extremo izquierdo,La Liga,Real Oviedo,real-oviedo,2497,2025,transfermarkt
337715,Umar Sadiq,Nigeria,1997-02-02,,La Liga,Real Sociedad,real-sociedad-san-sebastian,681,2025,transfermarkt
337946,Jairo Izquierdo,España,1993-10-22,,La Liga,Elche CF,fc-elche,1531,2025,transfermarkt
338285,Unai Núñez,España,1997-01-30,Defensa central,La Liga,Valencia CF,fc-valencia,1049,2025,transfermarkt
338425,Álex Berenguer,España,1995-07-04,Extremo izquierdo,La Liga,Athletic Club,athletic-bilbao,621,2025,transfermarkt
339079,Jiri Letacek,República Checa,1999-01-09,Portero,La Liga,Getafe CF,fc-getafe,3709,2025,transfermarkt
339816,Tete Morente,España,1996-12-04,Extremo izquierdo,La Liga,Elche CF,fc-elche,1531,2025,transfermarkt
340205,Gorka Guruzeta,España,1996-09-12,Delantero centro,La Liga,Athletic Club,athletic-bilbao,621,2025,transfermarkt
340376,Abel Ruiz,España,2000-01-28,Delantero centro,La Liga,Girona FC,fc-girona,12321,2025,transfermarkt
341110,Franco Cervi,Argentina,1994-05-26,Extremo izquierdo,La Liga,RC Celta de Vigo,celta-vigo,940,2025,transfermarkt
341263,Adrián Dela,España,1999-02-26,Defensa central,La Liga,Levante UD,ud-levante,3368,2025,transfermarkt
341264,Fran García,España,1999-08-14,Lateral izquierdo,La Liga,Real Madrid CF,real-madrid,418,2025,transfermarkt
341277,Sergio Lozano,España,1999-03-24,,La Liga,Levante UD,ud-levante,3368,2025,transfermarkt
341278,Iván Martín,España,1999-02-14,Mediocentro,La Liga,Girona FC,fc-girona,12321,2025,transfermarkt
341713,Diego Conde,España,1998-10-28,Portero,La Liga,Villarreal CF,fc-villarreal,1050,2025,transfermarkt
342048,Grady Diangana,RD del Congo,1998-04-19,Extremo derecho,La Liga,Elche CF,fc-elche,1531,2025,transfermarkt
342229,Kylian Mbappé,Francia,1998-12-20,Delantero centro,La Liga,Real Madrid CF,real-madrid,418,2025,transfermarkt
342385,Guido Rodríguez,Argentina,1994-04-12,Pivote,La Liga,Valencia CF,fc-valencia,1049,2025,transfermarkt
343052,Nicolas Pépé,Costa de Marfil,1995-05-29,Extremo derecho,La Liga,Villarreal CF,fc-villarreal,1050,2025,transfermarkt
345886,Rubén Vargas,Suiza,1998-08-05,Extremo izquierdo,La Liga,Sevilla FC,fc-sevilla,368,2025,transfermarkt
345911,Ladislav Krejčí,República Checa,1999-04-20,,La Liga,Girona FC,fc-girona,12321,2025,transfermarkt
346289,Mouctar Diakhaby,Guinea,1996-12-19,Defensa central,La Liga,Valencia CF,fc-valencia,1049,2025,transfermarkt
348795,Giovani Lo Celso,Argentina,1996-04-09,Mediocentro ofensivo,La Liga,Real Betis Balompié,real-betis-sevilla,150,2025,transfermarkt
349884,Lucas Ahijado,España,1995-01-30,Lateral derecho,La Liga,Real Oviedo,real-oviedo,2497,2025,transfermarkt
351478,Mikel Oyarzabal,España,1997-04-21,Delantero centro,La Liga,Real Sociedad,real-sociedad-san-sebastian,681,2025,transfermarkt
351809,Robin Le Normand,España,1996-11-11,Defensa central,La Liga,Atlético de Madrid,atletico-madrid,13,2025,transfermarkt
355628,Igor Zubeldia,España,1997-03-30,Defensa central,La Liga,Real Sociedad,real-sociedad-san-sebastian,681,2025,transfermarkt
355861,Arnaut Danjuma,Países Bajos,1997-01-31,Extremo izquierdo,La Liga,Valencia CF,fc-valencia,1049,2025,transfermarkt
356197,Alfonso Pedraza,España,1996-04-09,Lateral izquierdo,La Liga,Villarreal CF,fc-villarreal,1050,2025,transfermarkt
357628,Alfon González,España,1999-05-04,Extremo izquierdo,La Liga,Villarreal CF,fc-villarreal,1050,2025,transfermarkt
357884,Fernando Calero,España,1995-09-14,Defensa central,La Liga,RCD Espanyol,espanyol-barcelona,714,2025,transfermarkt
357885,Pablo Fornals,España,1996-02-22,Mediocentro,La Liga,Real Betis Balompié,real-betis-sevilla,150,2025,transfermarkt
358032,Cyril Ngonge,Bélgica,2000-05-26,Extremo derecho,La Liga,RCD Espanyol,espanyol-barcelona,714,2025,transfermarkt
358250,Joseph Aidoo,Ghana,1995-09-29,Defensa central,La Liga,RC Celta de Vigo,celta-vigo,940,2025,transfermarkt
361254,Rafa Mir,España,1997-06-18,Delantero centro,La Liga,Elche CF,fc-elche,1531,2025,transfermarkt
362086,Isi Palazón,España,1994-12-27,Mediapunta,La Liga,Rayo Vallecano,rayo-vallecano,367,2025,transfermarkt
363057,Pedro Díaz,España,1998-06-05,Mediocentro,La Liga,Rayo Vallecano,rayo-vallecano,367,2025,transfermarkt
366930,Sergio Gómez,España,2000-09-04,Lateral izquierdo,La Liga,Real Sociedad,real-sociedad-san-sebastian,681,2025,transfermarkt
367466,Thierry Correia,Portugal,1999-03-09,Lateral derecho,La Liga,Valencia CF,fc-valencia,1049,2025,transfermarkt
369081,Federico Valverde,Uruguay,1998-07-22,Mediocentro,La Liga,Real Madrid CF,real-madrid,418,2025,transfermarkt
371371,Marash Kumbulla,Albania,2000-02-08,Defensa central,La Liga,RCD Mallorca,rcd-mallorca,237,2025,transfermarkt
371998,Vinicius Junior,Brasil,2000-07-12,Extremo izquierdo,La Liga,Real Madrid CF,real-madrid,418,2025,transfermarkt
372246,Carlos Soler,España,1997-01-02,Mediocentro,La Liga,Real Sociedad,real-sociedad-san-sebastian,681,2025,transfermarkt
374139,Junior Firpo,República Dominicana,1996-08-22,Lateral izquierdo,La Liga,Real Betis Balompié,real-betis-sevilla,150,2025,transfermarkt
