whoscored_match_id,venue_name,manager_home,manager_away,ht_score,ft_score,attendance,referee_id_whoscored,referee_name,start_time
1485277,Selhurst Park,Roy Hodgson,Marcelo Bielsa,3 : 1,4 : 1,,780,Chris Kavanagh,2020-11-07T16:00:00
1485278,Selhurst Park,Roy Hodgson,José Mourinho,0 : 1,1 : 1,2000.0,120,Kevin Friend,2020-12-13T15:15:00
1485279,Goodison Park,Carlo Ancelotti,Ole Gunnar Solskjær,1 : 2,1 : 3,,95,Paul Tierney,2020-11-07T13:30:00
1485280,Goodison Park,Carlo Ancelotti,Frank Lampard,1 : 0,1 : 0,2000.0,102,Jonathan Moss,2020-12-12T21:00:00
1485281,King Power Stadium,Brendan Rodgers,Nuno Espírito Santo,1 : 0,1 : 0,,99,Anthony Taylor,2020-11-08T15:00:00
1485282,Craven Cottage,Scott Parker,Jürgen Klopp,1 : 0,1 : 1,2000.0,107,Andre Marriner,2020-12-13T17:30:00
1485283,Etihad Stadium,Josep Guardiola,Jürgen Klopp,1 : 1,1 : 1,,104,Craig Pawson,2020-11-08T17:30:00
1485284,Elland Road,Marcelo Bielsa,David Moyes,1 : 1,1 : 2,,89,Michael Oliver,2020-12-11T21:00:00
1485285,St. Mary's Stadium,Ralph Hasenhüttl,Steve Bruce,1 : 0,2 : 0,,133,Peter Bankes,2020-11-06T21:00:00
1485286,King Power Stadium,Brendan Rodgers,Graham Potter,3 : 0,3 : 0,,86,Martin Atkinson,2020-12-13T20:15:00
1485287,The Hawthorns,Slaven Bilic,José Mourinho,0 : 0,0 : 1,,125,Andy Madley,2020-11-08T13:00:00
1485288,Old Trafford,Ole Gunnar Solskjær,Josep Guardiola,0 : 0,0 : 0,,780,Chris Kavanagh,2020-12-12T18:30:00
1485289,London Stadium,David Moyes,Scott Parker,0 : 0,1 : 0,,998,Robert Jones,2020-11-07T21:00:00
1485290,St. James' Park,Steve Bruce,Slaven Bilic,1 : 0,2 : 1,,132,Darren England,2020-12-12T16:00:00
1485291,Villa Park,Dean Smith,Graham Potter,0 : 1,1 : 2,,89,Michael Oliver,2020-11-21T16:00:00
1485292,St. Mary's Stadium,Ralph Hasenhüttl,Chris Wilder,1 : 0,3 : 0,2000.0,125,Andy Madley,2020-12-13T13:00:00
1485293,Turf Moor,Sean Dyche,Roy Hodgson,1 : 0,1 : 0,,120,Kevin Friend,2020-11-23T18:30:00
1485294,Molineux Stadium,Nuno Espírito Santo,Dean Smith,0 : 0,0 : 1,,85,Mike Dean,2020-12-12T13:30:00
1485295,Craven Cottage,Scott Parker,Carlo Ancelotti,1 : 3,2 : 3,,125,Andy Madley,2020-11-22T13:00:00
1485296,Emirates Stadium,Mikel Arteta,Ralph Hasenhüttl,0 : 1,1 : 1,,95,Paul Tierney,2020-12-16T19:00:00
1485297,Elland Road,Marcelo Bielsa,Mikel Arteta,0 : 0,0 : 0,,99,Anthony Taylor,2020-11-22T17:30:00
1485298,Villa Park,Dean Smith,Sean Dyche,0 : 0,0 : 0,,104,Craig Pawson,2020-12-17T19:00:00
1485299,Anfield,Jürgen Klopp,Brendan Rodgers,2 : 0,3 : 0,,780,Chris Kavanagh,2020-11-22T20:15:00
1485300,Craven Cottage,Scott Parker,Graham Potter,0 : 0,0 : 0,,998,Robert Jones,2020-12-16T21:00:00
1485301,Old Trafford,Ole Gunnar Solskjær,Slaven Bilic,0 : 0,1 : 0,,150,David Coote,2020-11-21T21:00:00
1485302,Elland Road,Marcelo Bielsa,Steve Bruce,1 : 1,5 : 2,,113,Simon Hooper,2020-12-16T19:00:00
1485303,St. James' Park,Steve Bruce,Frank Lampard,0 : 1,0 : 2,,104,Craig Pawson,2020-11-21T13:30:00
1485304,King Power Stadium,Brendan Rodgers,Carlo Ancelotti,0 : 1,0 : 2,,83,Lee Mason,2020-12-16T19:00:00
1485305,Bramall Lane,Chris Wilder,David Moyes,0 : 0,0 : 1,,86,Martin Atkinson,2020-11-22T15:00:00
1485306,Bramall Lane,Chris Wilder,Ole Gunnar Solskjær,1 : 2,2 : 3,,89,Michael Oliver,2020-12-17T21:00:00
1485307,Tottenham Hotspur Stadium,José Mourinho,Josep Guardiola,1 : 0,2 : 0,,85,Mike Dean,2020-11-21T18:30:00
1485308,London Stadium,David Moyes,Roy Hodgson,0 : 1,1 : 1,,150,David Coote,2020-12-16T21:00:00
1485309,Molineux Stadium,Nuno Espírito Santo,Ralph Hasenhüttl,0 : 0,1 : 1,,107,Andre Marriner,2020-11-23T21:00:00
1485310,Molineux Stadium,Nuno Espírito Santo,Frank Lampard,0 : 0,2 : 1,,81,Stuart Attwell,2020-12-15T19:00:00
