id_sofascore,id_understat,id_whoscored,attendance,temperature_c,humidity_pct,precipitation_mm,wind_speed_kmh,weather_code
8966342,14822,,,13.3,52,0.0,16.5,0
8966316,14821,,,9.0,95,2.5,10.6,61
8805173,,1469935,,10.6,89,0.2,17.3,51
8897005,14467,1485502,,10.3,92,19.7,16.0,63
8833429,15159,1481019,,10.0,86,0.8,21.7,53
8953865,,1490887,,11.2,92,0.4,5.2,53
8805167,,1469979,,9.0,96,0.1,17.3,51
8738517,15808,1463976,,17.1,74,0.7,26.1,53
8833454,15164,1481015,,12.8,79,0.1,17.8,51
8953866,,1490891,,20.9,92,3.7,20.9,63
8738564,15807,1463972,,9.8,95,3.2,7.7,63
8833431,15163,1481017,,9.8,72,0.0,13.7,0
8833449,15162,1481014,,8.9,88,0.1,20.0,51
8833434,15161,1481021,,8.8,79,0.0,12.6,2
8970341,15449,1495444,,13.3,92,31.2,4.1,63
8896893,14468,1485217,,10.4,92,36.8,41.9,63
8805161,,1469757,,9.8,88,0.1,18.6,51
8896884,14466,1485215,,9.2,100,0.5,13.0,53
8738532,15815,1463973,,9.3,87,0.3,10.8,53
8896905,14473,1485222,,9.0,100,0.3,14.3,53
8805169,,1469960,,12.2,85,1.8,37.0,61
8896904,14471,1485220,,9.6,98,0.8,13.7,53
8738526,15809,1463975,,13.0,81,0.2,21.2,51
8966318,14820,,,9.8,96,7.8,11.9,63
8805170,,1469886,,10.1,79,0.0,25.5,51
8896910,14474,1485223,,9.2,100,0.5,13.0,53
8896896,14470,1485516,,8.5,100,0.6,10.1,53
8896901,14465,1485510,,8.9,100,0.8,10.0,53
8738529,15813,1463979,,10.5,87,6.1,9.8,63
8953878,,1490892,,15.8,82,0.0,18.6,51
8970702,,1495449,,19.2,80,0.0,15.7,2
8954088,,1490884,,17.5,78,0.0,27.2,2
8738527,15814,1463978,,10.9,90,6.3,29.2,63
8833448,15165,1481016,,10.2,66,0.0,15.5,0
8966350,14819,,,14.4,58,0.0,16.6,0
8966506,14815,,,10.2,92,5.9,15.8,63
8738534,15810,1463974,,9.1,94,0.2,18.5,53
8833453,15166,1481013,,9.6,83,0.0,9.8,2
8805184,,1469894,,10.4,84,0.5,22.6,53
8953822,,,,21.8,85,2.8,27.7,61
8805175,,1469987,,10.7,84,0.3,25.7,53
8738533,15812,,,12.7,77,3.8,45.4,63
8966311,14818,1492303,,19.0,85,0.0,17.0,2
8966334,14817,,,13.0,72,0.0,23.3,0
8738525,15817,1463981,,7.2,95,0.0,13.3,51
8738530,15822,1463986,,9.2,79,0.0,14.9,2
8805156,,1469860,,7.5,86,0.0,5.0,51
8833423,15171,1481027,,5.5,84,0.0,7.4,51
8833425,15168,1481024,,3.0,100,0.2,4.6,51
8953804,,1490898,,12.5,100,0.0,9.2,51
8966310,14833,,,10.5,51,0.0,4.2,0
8953879,,1490904,,15.1,97,0.0,11.0,51
8896911,14475,1485328,,8.3,93,0.3,7.3,53
8897007,14477,1485226,,9.2,96,0.7,11.3,53
8833420,15169,1481025,,6.9,92,0.5,9.7,53
8953840,,1490907,,20.4,75,0.1,15.1,51
8896916,14480,1485429,,11.8,92,2.8,21.0,61
8833424,15167,1481023,,5.9,85,0.2,3.8,51
8897001,14481,1485325,,7.9,94,0.6,11.4,53
8966319,14828,,,11.7,100,0.0,9.5,51
8966509,14831,,,14.6,43,0.0,3.4,0
8738521,15823,1463987,,6.1,88,0.0,7.7,51
8738522,15819,1463983,,8.8,78,0.0,10.5,2
