whoscored_match_id,venue_name,manager_home,manager_away,ht_score,ft_score,attendance,referee_id_whoscored,referee_name,start_time
1734784,Estadio Coliseum,José Bordalás,Diego Simeone,0 : 2,0 : 3,13027,309,Mario Melero López,2024-05-15T22:00:00
1734785,San Mamés,Ernesto Valverde,Luis García,2 : 0,2 : 0,48257,296,Alejandro Muñiz Ruiz,2024-03-16T21:00:00
1734786,Benito Villamarín,Manuel Pellegrini,José Bordalás,1 : 1,1 : 1,53336,304,Juan Luis Pulido Santana,2024-02-04T18:30:00
1734787,Estadio Gran Canaria,Francisco Javier García Pimienta,Manuel Pellegrini,1 : 1,2 : 2,22606,260,Javier Iglesias Villanueva,2024-05-16T19:30:00
1734788,Power Horse Stadium,Pepe Mel,Jagoba Arrasate,0 : 2,0 : 3,10565,2917,Pablo González Fuertes,2024-03-30T16:15:00
1734789,Municipal de Montilivi,Míchel Sánchez,Imanol Alguacil,0 : 0,0 : 0,13755,189,Jesús Gil Manzano,2024-02-03T21:00:00
1734790,Ramón Sánchez-Pizjuán,Enrique Sánchez Flores,Mauricio Pellegrino,0 : 0,0 : 1,35805,266,Miguel Ángel Ortiz Arias,2024-05-15T19:30:00
1734791,Estadi Olímpic Lluís Companys,Xavier Hernández Creus,Francisco Javier García Pimienta,0 : 0,1 : 0,46788,3362,Mateo Busquets Ferrer,2024-03-30T21:00:00
1734792,Estadio de Vallecas,Francisco Rodríguez,Enrique Sánchez Flores,1 : 2,1 : 2,12546,246,Francisco José Hernández Maeso,2024-02-05T21:00:00
1734793,El Sadar,Jagoba Arrasate,Javier Aguirre,1 : 0,1 : 1,17852,246,Francisco José Hernández Maeso,2024-05-14T19:30:00
1734794,Nuevo Mirandilla,Mauricio Pellegrino,José Ramón Sandoval,0 : 0,1 : 0,15422,3234,Guillermo Cuadra Fernández,2024-03-29T21:00:00
1734795,Nuevo Los Cármenes,Alexander Medina,Francisco Javier García Pimienta,1 : 0,1 : 1,17941,3362,Mateo Busquets Ferrer,2024-02-03T16:15:00
1734796,Estadio de Vallecas,Iñigo Pérez,José Ramón Sandoval,1 : 0,2 : 1,12738,307,Isidro Díaz de Mera Escuderos,2024-05-15T19:30:00
1734797,Balaídos,Claudio Giráldez,Iñigo Pérez,0 : 0,0 : 0,21505,229,Alejandro José Hernández Hernández,2024-03-31T14:00:00
1734798,Mendizorroza,Luis García,Xavier Hernández Creus,0 : 1,1 : 3,19480,206,Juan Martínez Munuera,2024-02-03T18:30:00
