whoscored_match_id,whoscored_event_id,whoscored_player_id,whoscored_team_id,player_name,event_type,period,minute,second,x,y,end_x,end_y,outcome,season,data_source,source
1901061,2839340349.0,83719.0,777,,Pass,FirstHalf,5,45.0,0.372,0.66,0.402,0.607,Successful,2025/26,whoscored,whoscored
1901061,2839340379.0,327702.0,777,,BallRecovery,FirstHalf,5,48.0,0.405,0.597,,,Successful,2025/26,whoscored,whoscored
1901061,2839340421.0,327702.0,777,,Pass,FirstHalf,5,48.0,0.405,0.597,0.36,0.681,Successful,2025/26,whoscored,whoscored
1901061,2839340475.0,423449.0,777,,Pass,FirstHalf,5,50.0,0.36,0.681,0.815,0.769,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839340531.0,383278.0,300,,KeeperSweeper,FirstHalf,5,53.0,0.241,0.23,,,Successful,2025/26,whoscored,whoscored
1901061,2839340561.0,383278.0,300,,Pass,FirstHalf,5,55.0,0.261,0.236,0.56,0.192,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839340571.0,431666.0,777,,Aerial,FirstHalf,5,57.0,0.418,0.834,,,Successful,2025/26,whoscored,whoscored
1901061,2839340573.0,386390.0,300,,Aerial,FirstHalf,5,57.0,0.582,0.166,,,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839340599.0,431666.0,777,,Pass,FirstHalf,5,57.0,0.384,0.88,0.436,0.67,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839340605.0,327702.0,777,,BallTouch,FirstHalf,5,58.0,0.436,0.67,,,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839340611.0,327702.0,777,,Challenge,FirstHalf,5,59.0,0.416,0.664,,,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839340647.0,302650.0,300,,TakeOn,FirstHalf,5,59.0,0.584,0.336,,,Successful,2025/26,whoscored,whoscored
1901061,2839340655.0,302650.0,300,,BallRecovery,FirstHalf,6,1.0,0.595,0.388,,,Successful,2025/26,whoscored,whoscored
1901061,2839340803.0,302650.0,300,,Pass,FirstHalf,6,2.0,0.595,0.433,0.588,0.814,Successful,2025/26,whoscored,whoscored
1901061,2839340873.0,403913.0,300,,Pass,FirstHalf,6,9.0,0.658,0.562,0.673,0.057,Successful,2025/26,whoscored,whoscored
1901061,2839340929.0,349184.0,300,,Pass,FirstHalf,6,13.0,0.679,0.091,0.712,0.182,Successful,2025/26,whoscored,whoscored
1901061,2839340969.0,386390.0,300,,Pass,FirstHalf,6,15.0,0.714,0.226,0.688,0.307,Successful,2025/26,whoscored,whoscored
1901061,2839340991.0,85070.0,300,,Pass,FirstHalf,6,17.0,0.698,0.339,0.753,0.385,Successful,2025/26,whoscored,whoscored
1901061,2839341001.0,302650.0,300,,Pass,FirstHalf,6,18.0,0.753,0.385,0.833,0.347,Successful,2025/26,whoscored,whoscored
1901061,2839550659.0,386390.0,300,,BallTouch,FirstHalf,6,19.0,0.843,0.329,,,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839341043.0,83719.0,777,,Pass,FirstHalf,6,21.0,0.204,0.657,0.308,0.85,Successful,2025/26,whoscored,whoscored
1901061,2839341051.0,357956.0,777,,BallRecovery,FirstHalf,6,22.0,0.308,0.85,,,Successful,2025/26,whoscored,whoscored
1901061,2839341065.0,357956.0,777,,Pass,FirstHalf,6,22.0,0.308,0.85,0.43,0.642,Successful,2025/26,whoscored,whoscored
1901061,2839341113.0,141729.0,777,,Pass,FirstHalf,6,23.0,0.437,0.667,0.472,0.797,Successful,2025/26,whoscored,whoscored
1901061,2839341223.0,357956.0,777,,Pass,FirstHalf,6,29.0,0.747,0.901,0.759,0.408,Successful,2025/26,whoscored,whoscored
1901061,2839341249.0,141729.0,777,,Pass,FirstHalf,6,33.0,0.746,0.414,0.706,0.549,Successful,2025/26,whoscored,whoscored
1901061,2839341253.0,431666.0,777,,MissedShots,FirstHalf,6,35.0,0.71,0.561,,,Successful,2025/26,whoscored,whoscored
1901061,2839341829.0,383278.0,300,,Pass,FirstHalf,7,10.0,0.04,0.483,0.616,0.456,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839341853.0,330629.0,777,,Aerial,FirstHalf,7,14.0,0.38,0.55,,,Successful,2025/26,whoscored,whoscored
1901061,2839341837.0,129903.0,300,,Aerial,FirstHalf,7,14.0,0.62,0.45,,,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839341871.0,330629.0,777,,Pass,FirstHalf,7,15.0,0.372,0.568,0.59,0.375,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839341905.0,100962.0,300,,Pass,FirstHalf,7,16.0,0.443,0.58,0.481,0.744,Successful,2025/26,whoscored,whoscored
1901061,2839341917.0,403913.0,300,,Pass,FirstHalf,7,18.0,0.485,0.749,0.416,0.699,Successful,2025/26,whoscored,whoscored
1901061,2839341945.0,100962.0,300,,Pass,FirstHalf,7,19.0,0.415,0.699,0.542,0.949,Successful,2025/26,whoscored,whoscored
1901061,2839342003.0,403913.0,300,,Pass,FirstHalf,7,21.0,0.544,0.949,0.61,0.941,Successful,2025/26,whoscored,whoscored
1901061,2839342009.0,388493.0,300,,Dispossessed,FirstHalf,7,24.0,0.522,0.921,,,Successful,2025/26,whoscored,whoscored
1901061,2839342001.0,572173.0,777,,Tackle,FirstHalf,7,24.0,0.478,0.079,,,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839342025.0,388493.0,300,,Pass,FirstHalf,7,26.0,0.489,0.873,0.477,0.714,Successful,2025/26,whoscored,whoscored
1901061,2839342061.0,129903.0,300,,Pass,FirstHalf,7,27.0,0.462,0.78,0.352,0.779,Successful,2025/26,whoscored,whoscored
1901061,2839342101.0,100962.0,300,,Pass,FirstHalf,7,28.0,0.349,0.779,0.394,0.204,Successful,2025/26,whoscored,whoscored
1901061,2839342129.0,405133.0,300,,Pass,FirstHalf,7,31.0,0.393,0.206,0.423,0.276,Successful,2025/26,whoscored,whoscored
1901061,2839342213.0,85070.0,300,,Pass,FirstHalf,7,32.0,0.45,0.263,0.59,0.168,Successful,2025/26,whoscored,whoscored
1901061,2839342279.0,386390.0,300,,Pass,FirstHalf,7,36.0,0.64,0.144,0.745,0.314,Successful,2025/26,whoscored,whoscored
1901061,2839342339.0,302650.0,300,,Pass,FirstHalf,7,40.0,0.723,0.336,0.725,0.582,Successful,2025/26,whoscored,whoscored
1901061,2839342351.0,388493.0,300,,TakeOn,FirstHalf,7,42.0,0.735,0.602,,,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839342407.0,330629.0,777,,BallTouch,FirstHalf,7,46.0,0.244,0.318,,,Successful,2025/26,whoscored,whoscored
1901061,2839342437.0,330505.0,777,,BallRecovery,FirstHalf,7,48.0,0.095,0.297,,,Successful,2025/26,whoscored,whoscored
1901061,2839342481.0,330505.0,777,,Pass,FirstHalf,7,48.0,0.095,0.297,0.039,0.483,Successful,2025/26,whoscored,whoscored
1901061,2839342537.0,326640.0,777,,Pass,FirstHalf,7,50.0,0.06,0.457,0.464,0.213,Successful,2025/26,whoscored,whoscored
1901061,2839342541.0,141729.0,777,,Aerial,FirstHalf,7,53.0,0.45,0.209,,,Successful,2025/26,whoscored,whoscored
1901061,2839342539.0,100962.0,300,,Aerial,FirstHalf,7,53.0,0.55,0.791,,,Unsuccessful,2025/26,whoscored,whoscored
1901061,2839342609.0,141729.0,777,,Pass,FirstHalf,7,54.0,0.464,0.213,0.679,0.034,Successful,2025/26,whoscored,whoscored
1901061,2839342629.0,495906.0,777,,TakeOn,FirstHalf,7,57.0,0.659,0.042,,,Unsuccessful,2025/26,whoscored,whoscored
